Sentence,Words,Entity
Sentence: 14,What,O
,is,O
,the,O
,origin,B-E
,of,O
,Henry,O
,Cluney,O
,?,O
Sentence: 15,List,O
,the,O
,known,B-E
,for,I-E
,of,O
,the,O
,models,B-E
,whose,O
,place,B-E
,of,I-E
,birth,I-E
,is,O
,New,B-E
,Orleans,I-E
,.,O
Sentence: 16,What,O
,is,O
,the,O
,sport,B-E
,of,O
,the,O
,schools,B-E
,whose,O
,region,B-E
,is,O
,Capital,B-E
,region,I-E
,?,O
Sentence: 17,What,O
,is,O
,the,O
,developer,B-E
,of,O
,the,O
,Batch,B-E
,Monitor,I-E
,and,O
,distributed,B-E
,by,I-E
,of,O
,the,O
,Riddim,B-E
,Ribbon,I-E
,feat.,I-E
,The,I-E
,Black,I-E
,Eyed,I-E
,Peas,I-E
Sentence: 18,What,O
,is,O
,the,O
,origin,B-E
,of,O
,the,O
,Xynisteri,B-E
,and,O
,Mavro,B-E
Sentence: 19,What,O
,is,O
,the,O
,honors,B-E
,of,O
,the,O
,military,B-E
,people,I-E
,whose,O
,conflict,B-E
,is,O
,Battle,B-E
,of,I-E
,France,I-E
,?,O
Sentence: 20,What,O
,is,O
,the,O
,restingplace,B-E
,of,O
,Charles,O
,Edward,O
,Magoon,O
,?,O
Sentence: 21,What,O
,is,O
,the,O
,builder,B-E
,of,O
,the,O
,stadium,B-E
,whose,O
,tenant,B-E
,is,O
,2013,B-E
,Copa,I-E
,Centroamericana,I-E
,?,O
Sentence: 22,Who,O
,is,O
,the,O
,siler,B-E
,medalist,I-E
,of,O
,Gymnastics,O
,at,O
,the,O
,2008,O
,Summer,O
,Olympics,O
,Women's,O
,artistic,O
,individual,O
,all-around,O
,?,O
Sentence: 23,What,O
,are,O
,the,O
,given,B-E
,names,I-E
,whose,O
,gender,B-E
,is,O
,Female,B-E
,?,O
Sentence: 24,What,O
,is,O
,the,O
,parent,B-E
,of,O
,the,O
,automobile,B-E
,whose,O
,products,B-E
,is,O
,Edsel,B-E
,Ranger,I-E
,?,O
Sentence: 25,What,O
,is,O
,the,O
,total,O
,number,O
,of,O
,other,O
,board,B-E
,of,O
,the,O
,people,B-E
,whose,O
,board,B-E
,is,O
,Creative,B-E
,Commons,I-E
,?,O
Sentence: 26,Who,O
,is,O
,the,O
,leader,B-E
,of,O
,United,O
,States,O
,House,O
,of,O
,Representatives,O
,elections,O
,1788,O
,and,O
,1789,O
,?,O
Sentence: 27,Who,O
,is,O
,the,O
,writer,B-E
,of,O
,the,O
,The,B-E
,Fugitive,I-E
,Kind,I-E
,and,O
,written,B-E
,by,I-E
,of,O
,the,O
,The,B-E
,Notebook,I-E
,of,I-E
,Trigorin,I-E
Sentence: 28,What,O
,is,O
,the,O
,mountain,B-E
,whose,O
,mountain,B-E
,range,I-E
,is,O
,Sierra,B-E
,Nevada,I-E
,(U.S.),I-E
,and,O
,parent,B-E
,mountain,I-E
,peak,I-E
,is,O
,Nevado,B-E
,de,I-E
,Toluca,I-E
,?,O
Sentence: 29,What,O
,is,O
,the,O
,PLACE,B-E
,OF,I-E
,DEATH,I-E
,of,O
,the,O
,architect,B-E
,who,O
,is,O
,the,O
,designer,B-E
,of,O
,Monument,B-E
,to,I-E
,Salavat,I-E
,Yulaev,I-E
,?,O
Sentence: 30,How,O
,many,O
,mammals,B-E
,are,O
,there,O
,whose,O
,phylum,B-E
,is,O
,Chordate,B-E
,?,O
Sentence: 31,What,O
,is,O
,the,O
,battles,B-E
,of,O
,Roh,O
,Tae-woo,O
,?,O
Sentence: 32,What,O
,is,O
,the,O
,subject,B-E
,of,O
,the,O
,books,B-E
,whose,O
,publisher,B-E
,is,O
,Random,B-E
,House,I-E
,?,O
Sentence: 33,What,O
,is,O
,the,O
,founders,B-E
,of,O
,the,O
,Pittsburgh,B-E
,and,O
,appointer,B-E
,of,O
,the,O
,William,B-E
,Cushing,I-E
Sentence: 34,What,O
,are,O
,the,O
,newspapers,B-E
,whose,O
,owners's,B-E
,key,B-E
,person,I-E
,is,O
,Rolv,B-E
,Erik,I-E
,Ryssdal,I-E
,?,O
Sentence: 35,What,O
,is,O
,the,O
,series,B-E
,of,O
,the,O
,The,B-E
,Lost,I-E
,Special,I-E
,and,O
,characters,B-E
,of,O
,the,O
,Sherlock,B-E
,Holmes,I-E
,(play),I-E
Sentence: 36,What,O
,is,O
,the,O
,known,B-E
,for,I-E
,of,O
,the,O
,models,B-E
,whose,O
,place,B-E
,of,I-E
,birth,I-E
,is,O
,Louisiana,B-E
,?,O
Sentence: 37,What,O
,is,O
,the,O
,official,B-E
,language,I-E
,of,O
,the,O
,Ladonia,B-E
,(micronation),I-E
,and,O
,Empire,B-E
,of,I-E
,Atlantium,I-E
Sentence: 38,What,O
,is,O
,the,O
,prize,B-E
,awarded,I-E
,of,O
,the,O
,person,B-E
,who,O
,is,O
,the,O
,animator,B-E
,of,O
,The,B-E
,Skeleton,I-E
,Dance,I-E
,?,O
Sentence: 39,What,O
,is,O
,the,O
,office,B-E
,holder,I-E
,whose,O
,constituency,B-E
,is,O
,Haight-Ashbury,B-E
,and,O
,military,B-E
,unit,I-E
,is,O
,USS,B-E
,Kittiwake,I-E
,(ASR-13),I-E
,?,O
Sentence: 40,What,O
,is,O
,the,O
,region,B-E
,of,O
,the,O
,ethnic,B-E
,group,I-E
,which,O
,is,O
,the,O
,language,B-E
,of,O
,Arkansas,B-E
,?,O
Sentence: 41,What,O
,is,O
,the,O
,religion,B-E
,of,O
,the,O
,member,B-E
,of,I-E
,parliament,I-E
,whose,O
,relation,B-E
,is,O
,Sarathchandra,B-E
,Rajakaruna,I-E
,?,O
Sentence: 42,What,O
,is,O
,the,O
,tenant,B-E
,of,O
,New,O
,Sanno,O
,Hotel,O
,?,O
Sentence: 43,What,O
,is,O
,the,O
,name,B-E
,of,O
,the,O
,200001,B-E
,Aston,I-E
,Villa,I-E
,F.C.,I-E
,season,I-E
,and,O
,manager,B-E
,of,O
,the,O
,200910,B-E
,Middlesbrough,I-E
,F.C.,I-E
,season,I-E
Sentence: 44,Is,O
,Galileo,B-E
,Galilei,I-E
,the,O
,discoverer,B-E
,of,O
,Ganymede,B-E
,(moon),I-E
,?,O
Sentence: 45,What,O
,is,O
,the,O
,Formula,B-E
,One,I-E
,racer,I-E
,whose,O
,relatives,B-E
,is,O
,Ralf,B-E
,Schumacher,I-E
,and,O
,has,B-E
,child,I-E
,is,O
,Mick,B-E
,Schumacher,I-E
,?,O
Sentence: 46,Is,O
,Front-engine,B-E
,design,I-E
,the,O
,automobile,B-E
,platform,I-E
,of,O
,Toyota,B-E
,Verossa,I-E
,?,O
Sentence: 47,What,O
,is,O
,the,O
,products,B-E
,of,O
,the,O
,banks,B-E
,whose,O
,product,B-E
,is,O
,Postbanken,B-E
,?,O
Sentence: 48,What,O
,is,O
,the,O
,employment,B-E
,of,O
,the,O
,Irving,B-E
,Chernev,I-E
,and,O
,Karen,B-E
,Grigorian,I-E
Sentence: 49,What,O
,is,O
,the,O
,producer,B-E
,(of,I-E
,product),I-E
,of,O
,the,O
,trains,B-E
,whose,O
,operator,B-E
,is,O
,MTR,B-E
,?,O
Sentence: 50,What,O
,is,O
,the,O
,television,B-E
,show,I-E
,whose,O
,distributor,B-E
,is,O
,Broadcast,B-E
,syndication,I-E
,and,O
,theme,B-E
,music,I-E
,composer,I-E
,is,O
,Primus,B-E
,(band),I-E
,?,O
Sentence: 51,What,O
,is,O
,the,O
,nationality,B-E
,of,O
,the,O
,writers,B-E
,whose,O
,movement,B-E
,is,O
,Feminism,B-E
,?,O
Sentence: 52,What,O
,is,O
,the,O
,former,B-E
,team,I-E
,of,O
,the,O
,ice,B-E
,hockey,I-E
,players,I-E
,whose,O
,position,B-E
,is,O
,Defenceman,B-E
,?,O
Sentence: 53,What,O
,is,O
,the,O
,band,B-E
,member,I-E
,of,O
,the,O
,Bands,B-E
,whose,O
,current,B-E
,members,I-E
,is,O
,Hynief,B-E
,?,O
Sentence: 54,What,O
,is,O
,the,O
,route,B-E
,end,I-E
,of,O
,the,O
,Mumbai,B-E
,Vadodara,I-E
,Expressway,I-E
,and,O
,line,B-E
,of,O
,the,O
,Vadodara,B-E
,Junction,I-E
,railway,I-E
,station,I-E
Sentence: 55,What,O
,is,O
,the,O
,author,B-E
,of,O
,the,O
,owls,B-E
,whose,O
,magazine,B-E
,is,O
,Jump,B-E
,Square,I-E
,?,O
Sentence: 56,Give,O
,me,O
,a,O
,count,O
,of,O
,television,B-E
,shows,I-E
,whose,O
,network,B-E
,is,O
,BBC,B-E
,HD,I-E
,?,O
Sentence: 57,What,O
,is,O
,the,O
,area,B-E
,of,O
,the,O
,The,B-E
,Chess,I-E
,Monthly,I-E
,and,O
,work,B-E
,of,O
,the,O
,Craig,B-E
,Van,I-E
,Tilbury,I-E
Sentence: 58,What,O
,is,O
,the,O
,location,B-E
,of,O
,the,O
,religious,B-E
,who,O
,is,O
,the,O
,successor,B-E
,of,O
,Thongsuk,B-E
,Samdaengpan,I-E
,?,O
Sentence: 59,What,O
,is,O
,the,O
,location,B-E
,city,I-E
,of,O
,the,O
,Denver,B-E
,Broncos,I-E
,and,O
,place,B-E
,of,I-E
,birth,I-E
,of,O
,the,O
,William,B-E
,C.,I-E
,Cramer,I-E
Sentence: 60,Is,O
,Mark,B-E
,Twain,I-E
,the,O
,characters,B-E
,of,O
,Mark,B-E
,Twain,I-E
,Tonight,I-E
,?,O
Sentence: 61,What,O
,are,O
,the,O
,bacterias,B-E
,whose,O
,order,B-E
,(taxonomy),I-E
,is,O
,Bacillales,B-E
,and,O
,domain,B-E
,is,O
,Bacteria,B-E
,?,O
Sentence: 62,What,O
,is,O
,the,O
,place,B-E
,of,O
,the,O
,Geography,B-E
,Club,I-E
,(play),I-E
,and,O
,official,B-E
,residence,I-E
,of,O
,the,O
,Scott,B-E
,Berkun,I-E
Sentence: 63,What,O
,are,O
,the,O
,fictional,B-E
,characters,I-E
,whose,O
,series's,B-E
,executive,B-E
,producer,I-E
,is,O
,Ricky,B-E
,Gervais,I-E
,?,O
Sentence: 64,Is,O
,The,B-E
,Next,I-E
,Step,I-E
,(James,I-E
,Brown,I-E
,album),I-E
,the,O
,Album,B-E
,of,O
,Killing,B-E
,Is,I-E
,Out,I-E
,School,I-E
,Is,I-E
,In,I-E
,?,O
Sentence: 65,What,O
,is,O
,the,O
,Band,B-E
,whose,O
,former,B-E
,band,I-E
,member,I-E
,is,O
,Kevin,B-E
,Jonas,I-E
,and,O
,past,B-E
,members,I-E
,is,O
,Joe,B-E
,Jonas,I-E
,?,O
Sentence: 66,How,O
,many,O
,owls,B-E
,are,O
,there,O
,whose,O
,youthclubs's,B-E
,team,B-E
,manager,I-E
,is,O
,Luis,B-E
,Enrique,I-E
,(footballer),I-E
,?,O
Sentence: 67,Is,O
,Chordate,B-E
,the,O
,phylum,B-E
,of,O
,Camel,B-E
,?,O
Sentence: 68,What,O
,is,O
,the,O
,purpose,B-E
,of,O
,the,O
,Maharashtra,B-E
,Chess,I-E
,Association,I-E
,and,O
,kind,B-E
,of,I-E
,music,I-E
,of,O
,the,O
,PyChess,B-E
Sentence: 69,What,O
,are,O
,the,O
,american,B-E
,football,I-E
,players,I-E
,whose,O
,former,B-E
,teams,I-E
,are,O
,Indianapolis,B-E
,Colts,I-E
,and,O
,Carolina,B-E
,Panthers,I-E
,?,O
Sentence: 70,What,O
,is,O
,the,O
,language,B-E
,of,O
,All,O
,I,O
,Need,O
,Is,O
,Your,O
,Sweet,O
,Lovin',O
,?,O
Sentence: 71,What,O
,is,O
,the,O
,office,B-E
,holder,I-E
,whose,O
,rank,B-E
,is,O
,Colonel,B-E
,(United,I-E
,States),I-E
,and,O
,consort,B-E
,is,O
,Dolley,B-E
,Madison,I-E
,?,O
Sentence: 72,What,O
,is,O
,the,O
,title,B-E
,of,O
,the,O
,Zaman,B-E
,Shah,I-E
,Durrani,I-E
,and,O
,nationality,B-E
,of,O
,the,O
,Salahuddin,B-E
,Rabbani,I-E
Sentence: 73,Is,O
,Cibao,B-E
,International,I-E
,Airport,I-E
,the,O
,hub,B-E
,airport,I-E
,of,O
,Merlin,B-E
,Express,I-E
,?,O
Sentence: 74,Is,O
,Gibson,B-E
,Les,I-E
,Paul,I-E
,the,O
,notable,B-E
,instruments,I-E
,of,O
,Duane,B-E
,Allman,I-E
,?,O
Sentence: 75,What,O
,is,O
,the,O
,judges,B-E
,of,O
,the,O
,Rising,B-E
,Star,I-E
,(U.S.,I-E
,TV,I-E
,series),I-E
,and,O
,Artist,B-E
,of,O
,the,O
,Brad,B-E
,Paisley,I-E
,discography,I-E
Sentence: 76,Who,O
,are,O
,the,O
,people,B-E
,whose,O
,denomination's,B-E
,headquarters,B-E
,is,O
,Gold,B-E
,Base,I-E
,?,O
Sentence: 77,What,O
,is,O
,the,O
,member,B-E
,of,I-E
,political,I-E
,party,I-E
,of,O
,the,O
,Iqbal,B-E
,Singh,I-E
,(politician),I-E
,and,O
,B.,B-E
,Shiva,I-E
,Rao,I-E
Sentence: 78,What,O
,is,O
,the,O
,state,B-E
,of,O
,the,O
,school,B-E
,which,O
,is,O
,the,O
,alma,B-E
,mater,I-E
,of,O
,Ben,B-E
,Ysursa,I-E
,?,O
Sentence: 79,What,O
,is,O
,the,O
,sport,B-E
,of,O
,the,O
,Lagos,B-E
,Preparatory,I-E
,School,I-E
,and,O
,profession,B-E
,of,O
,the,O
,William,B-E
,Garne,I-E
Sentence: 80,What,O
,are,O
,the,O
,beverages,B-E
,whose,O
,origin,B-E
,is,O
,England,B-E
,?,O
Sentence: 81,What,O
,is,O
,the,O
,current,B-E
,members,I-E
,of,O
,the,O
,Insects,B-E
,vs,I-E
,Robots,I-E
,and,O
,music,B-E
,composer,I-E
,of,O
,the,O
,Kenny,B-E
,Dies,I-E
Sentence: 82,What,O
,are,O
,the,O
,television,B-E
,shows,I-E
,whose,O
,distributed,B-E
,by,I-E
,is,O
,HBO,B-E
,?,O
Sentence: 83,What,O
,is,O
,the,O
,distributing,B-E
,label,I-E
,of,O
,StandBy,O
,Records,O
,?,O
Sentence: 84,Who,O
,is,O
,the,O
,film,B-E
,starring,I-E
,of,O
,On,O
,Air,O
,with,O
,Ryan,O
,Seacrest,O
,?,O
Sentence: 85,What,O
,is,O
,the,O
,office,B-E
,holder,I-E
,whose,O
,childrens,B-E
,are,O
,James,B-E
,Roosevelt,I-E
,and,O
,Franklin,B-E
,Delano,I-E
,Roosevelt,I-E
,Jr.,I-E
,?,O
Sentence: 86,Count,O
,the,O
,location,B-E
,of,O
,the,O
,waterway,B-E
,tunnels,I-E
,whose,O
,is,B-E
,owned,I-E
,by,I-E
,is,O
,Canal,B-E
,&,I-E
,River,I-E
,Trust,I-E
,.,O
Sentence: 87,What,O
,is,O
,the,O
,total,O
,number,O
,of,O
,other,O
,launch,B-E
,site,I-E
,of,O
,the,O
,rockets,B-E
,whose,O
,launch,B-E
,site,I-E
,is,O
,Cape,B-E
,Canaveral,I-E
,Air,I-E
,Force,I-E
,Station,I-E
,?,O
Sentence: 88,What,O
,is,O
,the,O
,leader,B-E
,name,I-E
,of,O
,the,O
,settlements,B-E
,whose,O
,time,B-E
,zone,I-E
,is,O
,Indian,B-E
,Standard,I-E
,Time,I-E
,?,O
Sentence: 89,Who,O
,are,O
,the,O
,comics,B-E
,characters,I-E
,whose,O
,sculptors,B-E
,is,O
,Bruce,B-E
,Timm,I-E
,?,O
Sentence: 90,What,O
,is,O
,the,O
,alma,B-E
,mater,I-E
,of,O
,the,O
,Patty,B-E
,Lin,I-E
,and,O
,university,B-E
,attended,I-E
,of,O
,the,O
,Franklin,B-E
,W.,I-E
,Olin,I-E
Sentence: 91,What,O
,is,O
,the,O
,associate,B-E
,of,O
,the,O
,Thomas,B-E
,Bryan,I-E
,Martin,I-E
,and,O
,is,B-E
,founded,I-E
,by,I-E
,of,O
,the,O
,Pittsburgh,B-E
Sentence: 92,What,O
,is,O
,the,O
,licensee,B-E
,of,O
,WXXV-DT2,O
,?,O
Sentence: 93,Count,O
,the,O
,other,O
,sport,B-E
,of,O
,the,O
,schools,B-E
,whose,O
,sport,B-E
,is,O
,Hockey,B-E
,.,O
Sentence: 94,List,O
,the,O
,other,O
,tomb,B-E
,of,O
,the,O
,royalties,B-E
,whose,O
,burial,B-E
,place,I-E
,is,O
,Little,B-E
,Easton,I-E
,.,O
Sentence: 95,What,O
,is,O
,the,O
,relation,B-E
,of,O
,the,O
,military,B-E
,people,I-E
,whose,O
,in,B-E
,conflict,I-E
,is,O
,Operation,B-E
,Barbarossa,I-E
,?,O
Sentence: 96,What,O
,is,O
,the,O
,total,O
,number,O
,of,O
,awards,B-E
,of,O
,the,O
,artists,B-E
,whose,O
,career,B-E
,is,O
,Screenwriter,B-E
,?,O
Sentence: 97,What,O
,is,O
,the,O
,builder,B-E
,of,O
,Estadio,O
,Nacional,O
,de,O
,Costa,O
,Rica,O
,(2011),O
,?,O
Sentence: 98,How,O
,many,O
,software,B-E
,are,O
,there,O
,whose,O
,operating,B-E
,system,I-E
,is,O
,Microsoft,B-E
,Windows,I-E
,?,O
Sentence: 99,What,O
,is,O
,the,O
,honours,B-E
,of,O
,the,O
,race,B-E
,horse,I-E
,which,O
,is,O
,the,O
,grandsire,B-E
,of,O
,Counterpoint,B-E
,(horse),I-E
,?,O
Sentence: 100,What,O
,is,O
,the,O
,location,B-E
,of,O
,Swedish,O
,Covenant,O
,Hospital,O
,?,O
Sentence: 101,Who,O
,is,O
,the,O
,scientist,B-E
,whose,O
,prizes,B-E
,is,O
,Norbert,B-E
,Wiener,I-E
,Award,I-E
,for,I-E
,Social,I-E
,and,I-E
,Professional,I-E
,Responsibility,I-E
,?,O
Sentence: 102,What,O
,is,O
,the,O
,awards,B-E
,of,O
,the,O
,artists,B-E
,whose,O
,work,B-E
,is,O
,Screenwriter,B-E
,?,O
Sentence: 103,What,O
,is,O
,the,O
,office,B-E
,of,O
,the,O
,mayors,B-E
,whose,O
,POD,B-E
,is,O
,U.S.,B-E
,Route,I-E
,165,I-E
,?,O
Sentence: 104,What,O
,is,O
,the,O
,race,B-E
,of,O
,the,O
,race,B-E
,horses,I-E
,whose,O
,owner,B-E
,is,O
,Tillingdale,B-E
,?,O
Sentence: 105,What,O
,is,O
,the,O
,television,B-E
,show,I-E
,whose,O
,related's,B-E
,subsequent,B-E
,work,I-E
,is,O
,Doctor,B-E
,Who,I-E
,Extra,I-E
,?,O
Sentence: 106,What,O
,is,O
,the,O
,predecessor,B-E
,of,O
,the,O
,automobile,B-E
,which,O
,is,O
,the,O
,related,B-E
,of,O
,Cadillac,B-E
,Fleetwood,I-E
,?,O
Sentence: 107,What,O
,is,O
,the,O
,country,B-E
,whose,O
,largest,B-E
,city,I-E
,is,O
,Lima,B-E
,?,O
Sentence: 108,Whose,O
,opponents,B-E
,are,O
,Ike,B-E
,Clanton,I-E
,and,O
,Billy,B-E
,Clanton,I-E
,?,O
Sentence: 109,What,O
,is,O
,the,O
,institution,B-E
,of,O
,Robert,O
,Hall,O
,(economist),O
,?,O
Sentence: 110,What,O
,is,O
,the,O
,denomination,B-E
,of,O
,the,O
,president,B-E
,who,O
,is,O
,the,O
,commander,B-E
,of,O
,South,B-E
,Thailand,I-E
,insurgency,I-E
,?,O
Sentence: 111,What,O
,writer's,B-E
,notableworks,B-E
,is,O
,Maniac,B-E
,Magee,I-E
Sentence: 112,What,O
,is,O
,the,O
,nationality,B-E
,of,O
,Emmett,O
,Hughes,O
,?,O
Sentence: 113,What,O
,are,O
,the,O
,movies,B-E
,whose,O
,music,B-E
,is,O
,Laurie,B-E
,Johnson,I-E
,?,O
Sentence: 114,What,O
,is,O
,the,O
,information,B-E
,appliance,I-E
,whose,O
,maker,B-E
,is,O
,Sony,B-E
,and,O
,predecessor,B-E
,is,O
,PlayStation,B-E
,2,I-E
,?,O
Sentence: 115,List,O
,the,O
,related,B-E
,of,O
,the,O
,automobiles,B-E
,whose,O
,class,B-E
,is,O
,Luxury,B-E
,vehicle,I-E
,.,O
Sentence: 116,What,O
,is,O
,the,O
,television,B-E
,show,I-E
,whose,O
,judges,B-E
,is,O
,Harry,B-E
,Connick,I-E
,Jr.,I-E
,?,O
Sentence: 117,Is,O
,Paul,B-E
,Weatherwax,I-E
,the,O
,edited,B-E
,by,I-E
,of,O
,Behave,B-E
,Yourself!,I-E
,?,O
Sentence: 118,Is,O
,Creative,B-E
,Commons,I-E
,license,I-E
,the,O
,content,B-E
,license,I-E
,of,O
,Journal,B-E
,of,I-E
,Cancer,I-E
,?,O
Sentence: 119,What,O
,is,O
,the,O
,kind,B-E
,of,I-E
,music,I-E
,of,O
,the,O
,video,B-E
,games,I-E
,whose,O
,developed,B-E
,by,I-E
,is,O
,Blizzard,B-E
,Entertainment,I-E
,?,O
Sentence: 120,What,O
,is,O
,the,O
,series,B-E
,of,O
,Doctor,O
,Who:,O
,Evacuation,O
,Earth,O
,?,O
Sentence: 121,What,O
,is,O
,the,O
,awards,B-E
,of,O
,the,O
,person,B-E
,who,O
,is,O
,the,O
,writer,B-E
,of,O
,Face,B-E
,to,I-E
,Face,B-E
,(1976,I-E
,film),I-E
,?,O
Sentence: 122,What,O
,is,O
,the,O
,other,B-E
,party,I-E
,of,O
,the,O
,Chandra,B-E
,Shekhar,I-E
,and,O
,political,B-E
,party,I-E
,of,O
,the,O
,Govinda,B-E
,(actor),I-E
Sentence: 123,What,O
,is,O
,the,O
,awards,B-E
,of,O
,the,O
,owl,B-E
,which,O
,is,O
,the,O
,screenplay,B-E
,of,O
,The,B-E
,Motorcycle,I-E
,Diaries,I-E
,(film),I-E
,?,O
Sentence: 124,Is,O
,United,B-E
,States,I-E
,Senate,I-E
,the,O
,nominee,B-E
,of,O
,Jack,B-E
,Ryan,I-E
,(politician),I-E
,?,O
Sentence: 125,What,O
,is,O
,the,O
,band,B-E
,member,I-E
,of,O
,the,O
,Bands,B-E
,whose,O
,label,B-E
,is,O
,Entertainment,B-E
,One,I-E
,Music,I-E
,?,O
Sentence: 126,What,O
,is,O
,the,O
,former,B-E
,team,I-E
,of,O
,the,O
,Dan,B-E
,Daoust,I-E
,and,O
,played,B-E
,for,I-E
,of,O
,the,O
,Don,B-E
,Ashby,I-E
Sentence: 127,What,O
,is,O
,the,O
,area,B-E
,of,O
,Radio,O
,Philippines,O
,Network,O
,?,O
Sentence: 128,What,O
,is,O
,the,O
,district,B-E
,of,O
,the,O
,Fort,B-E
,Heath,I-E
,radar,I-E
,station,I-E
,and,O
,state,B-E
,of,O
,the,O
,Joseph,B-E
,Story,I-E
Sentence: 129,What,O
,is,O
,the,O
,river,B-E
,whose,O
,river,B-E
,mouth,I-E
,is,O
,Gulf,B-E
,of,I-E
,Mexico,I-E
,and,O
,source,B-E
,location,I-E
,is,O
,Itasca,B-E
,State,I-E
,Park,I-E
,?,O
Sentence: 130,Is,O
,Mitch,B-E
,Miller,I-E
,the,O
,musical,B-E
,band,I-E
,of,O
,My,B-E
,Truly,I-E
,Truly,I-E
,Fair,I-E
,?,O
Sentence: 131,What,O
,is,O
,the,O
,denomination,B-E
,of,O
,the,O
,schools,B-E
,whose,O
,region,B-E
,is,O
,Ashanti,B-E
,Region,I-E
,?,O
Sentence: 132,What,O
,is,O
,the,O
,office,B-E
,holder,I-E
,whose,O
,successor's,B-E
,alma,B-E
,mater,I-E
,is,O
,Instituts,B-E
,d'tudes,I-E
,politiques,I-E
,?,O
Sentence: 133,Give,O
,the,O
,total,O
,number,O
,of,O
,mascot,B-E
,of,O
,the,O
,universities,B-E
,whose,O
,athletics,B-E
,is,O
,National,B-E
,Collegiate,I-E
,Athletic,I-E
,Association,I-E
,.,O
Sentence: 134,What,O
,is,O
,the,O
,region,B-E
,served,I-E
,of,O
,the,O
,Digit-Alb,B-E
,and,O
,place,B-E
,of,I-E
,birth,I-E
,of,O
,the,O
,Christine,B-E
,Rolfes,I-E
Sentence: 135,What,O
,is,O
,the,O
,nation,B-E
,of,O
,WTA,O
,Tour,O
,Championships,O
,?,O
Sentence: 136,What,O
,is,O
,the,O
,television,B-E
,show,I-E
,whose,O
,theme,B-E
,music,I-E
,composer,I-E
,is,O
,Julian,B-E
,Gingell,I-E
,and,O
,channel,B-E
,is,O
,Fox,B-E
,Broadcasting,I-E
,Company,I-E
,?,O
Sentence: 137,What,O
,is,O
,the,O
,prize,B-E
,received,I-E
,of,O
,the,O
,screenwriter,B-E
,who,O
,is,O
,the,O
,screenplay,B-E
,of,O
,The,B-E
,Postman,I-E
,(film),I-E
,?,O
Sentence: 138,What,O
,is,O
,the,O
,service,B-E
,of,O
,Laemmle,O
,Theatres,O
,?,O
Sentence: 139,Is,O
,Video,B-E
,game,I-E
,the,O
,industry,B-E
,of,O
,Nintendo,B-E
,?,O
Sentence: 140,What,O
,is,O
,the,O
,office,B-E
,holder,I-E
,whose,O
,predecessor,B-E
,is,O
,Henry,B-E
,E.,I-E
,Catto,I-E
,Jr.,I-E
,and,O
,award,B-E
,is,O
,Screen,B-E
,Actors,I-E
,Guild,I-E
,Life,I-E
,Achievement,I-E
,Award,I-E
,?,O
Sentence: 141,What,O
,is,O
,the,O
,notable,B-E
,commanders,I-E
,of,O
,the,O
,Army,B-E
,Group,I-E
,Oberrhein,I-E
,(Germany),I-E
,and,O
,leader,B-E
,of,O
